City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,ayan,0,TR,1524969517,86,40.67,33.6,37.34,1.05
88,lasa,0,CY,1524967200,87,34.92,32.53,66.2,4.7
89,bambanglipuro,0,ID,1524969519,82,-7.95,110.28,83.69,9.55
90,kumluca,0,TR,1524969519,80,36.37,30.29,40.49,1.39
91,mabaruma,88,GY,1524969520,100,8.2,-59.78,76.22,7.65
92,wilmington,90,US,1524968100,71,39.75,-75.55,60.8,10.29
93,isangel,76,VU,1524969520,100,-19.55,169.27,75.68,8.21
94,severo-kurilsk,64,RU,1524969521,94,50.68,156.12,33.2,21.18
95,yellowknife,75,CA,1524967200,69,62.45,-114.38,39.2,9.17
96,cabo san lucas,40,MX,1524966240,50,22.89,-109.91,80.6,12.75
97,sibolga,20,ID,1524969522,82,1.74,98.78,78.29,2.51
98,ust-omchug,88,RU,1524969522,72,61.13,149.63,26.27,5.75
99,ajdabiya,0,LY,1524969523,65,30.75,20.22,68.93,10.33
100,hami,0,CN,1524969523,39,42.84,93.51,67.67,5.97
101,ribeira grande,44,PT,1524969523,100,38.52,-28.7,59.12,9.66
102,santa vitoria do palmar,64,BR,1524969524,98,-33.52,-53.37,69.83,5.97
103,galesong,20,ID,1524969000,55,-5.32,119.37,87.8,3.36
104,sehithwa,0,BW,1524969524,69,-20.47,22.7,55.07,4.07
105,nuuk,68,GL,1524966600,73,64.17,-51.74,21.2,9.17
106,visby,80,SE,1524966600,87,57.64,18.3,42.8,9.17
107,jerome,1,US,1524967020,13,34.75,-112.11,73.4,16.11
108,kaduqli,0,SD,1524969526,59,11.01,29.72,61.73,2.62
109,kavieng,76,PG,1524969527,100,-2.57,150.8,81.26,8.88
110,las juntas,32,CR,1524969527,91,10.28,-84.96,74.51,2.62
111,codrington,44,AU,1524969528,86,-28.95,153.24,66.5,5.86
112,victoria,75,BN,1524967200,79,5.28,115.24,87.8,2.24
113,chapais,90,CA,1524969000,92,49.78,-74.86,30.2,10.29
114,adrar,0,DZ,1524967200,28,27.87,-0.29,69.8,10.29
115,prince george,1,CA,1524968400,24,53.92,-122.75,59.0,11.41
116,camacha,40,PT,1524967200,58,33.08,-16.33,59.0,13.87
117,provideniya,8,RU,1524969530,100,64.42,-173.23,30.41,1.05
118,chokurdakh,56,RU,1524969531,100,70.62,147.9,22.58,6.64
119,leningradskiy,48,RU,1524969531,100,69.38,178.42,29.42,1.95
120,vila velha,75,BR,1524967200,83,-3.71,-38.6,82.4,10.29
121,san jorge,20,SV,1524969532,100,13.41,-88.34,80.0,3.4
